Knee_Angle,Foot_Velocity,Stride_Length,Swing_Time,Stance_Time
10.764,0.0,0,0,0
10.03897435897436,0.0,0,0,0
11.513333333333334,0.0,0,0,0
12.360000000000001,0.0,0,0,0
13.462,0.0,0,0,0
12.703999999999999,0.0,0,0,0
11.606666666666667,0.0,0,0,0
11.162222222222221,0.0,0,0,0
11.537499999999998,0.0,0,0,0
12.200000000000005,0.0,0,0,0
10.874375,0.0,0,0,0
10.387931034482756,0.0,0,0,0
10.707647058823529,0.0,0,0,0
10.346666666666666,0.0,0,0,0
10.734117647058822,0.0,0,0,0
10.110999999999999,0.0,0,0,0
10.516470588235293,0.0,0,0,0
9.750526315789472,0.0,0,0,0
10.394545454545455,0.0,0,0,0
11.041478260869573,0.0,0,0,0
11.936666666666667,0.0,0,0,0
11.35625,0.0,0,0,0
11.697142857142856,0.0,0,0,0
12.049999999999999,0.0,0,0,0
12.704210526315787,0.0,0,0,0
11.6705,0.0,0,0,0
10.597777777777775,0.0,0,0,0
10.011702127659571,0.0,0,0,0
11.06551724137931,0.0,0,0,0
10.241428571428571,0.0,0,0,0
10.614499999999998,0.0,0,0,0
11.322222222222221,0.0,0,0,0
10.821000000000002,0.0,0,0,0
11.19037037037037,0.0,0,0,0
6.6200000000000045,0.0,0,0,19.8825902
10.310000000000002,0.0,0,0,20.258879
9.5,0.0,0,0,20.4308821
3.25,0.0,0,0,20.587075
-7.8700000000000045,0.0,0,0,20.758353
-11.094999999999999,0.0,0,0,20.9490141
-10.844999999999999,0.0,0,0,21.1075772
-11.875,0.0,0,0,21.2754427
-10.819999999999993,0.0,0,0,21.4296662
-6.189999999999998,0.0,0,0,21.5846353
-11.314999999999998,0.0,0,0,21.7485402
-9.75,0.0,0,0,21.898883
-8.599999999999994,0.0,0,0,22.0571419
-6.439999999999998,0.0,0,0,22.2089997
-4.619,0.0,0,0,22.4143075
-4.25,0.0,0,0,22.6153452
-8.060000000000002,0.0,0,0,22.7696899
-8.939999999999998,0.0,0,0,22.924914
-6.75,0.0,0,0,23.1060686
-3.5980000000000016,0.0,0,0,23.2857278
-7.560000000000002,0.0,0,0,23.4467294
-11.060000000000002,0.0,0,0,23.6062353
-12.160000000000002,0.0,0,0,23.757582
-13.375,0.0,0,0,23.9373467
-11.810000000000002,0.0,0,0,24.0682966
-10.560000000000002,0.0,0,0,24.2273788
-97.69,0.0,0,0,24.3813247
-85.715,0.0,0,0,24.5428524
-102.345,0.0,0,0,24.6974001
-100.955,0.0,0,0,24.863269
-99.92444444444443,0.0,0,0,25.0485564
-99.938,0.0,0,0,25.2219137
-8.430000000000007,0.0,0,0,25.3776407
-8.620000000000001,0.0,0,0,25.585415
-9.371666666666666,0.0,0,0,25.8142387
-8.826666666666666,0.0,0,0,26.0622983
-89.275,0.0,0,0,26.2304237
-102.56199999999998,0.0,0,0,26.4194061
-103.53,0.0,0,0,26.5760623
-103.77818181818184,0.0,0,0,26.7956994
-104.11333333333333,0.0,0,0,26.9676174
-104.70624999999998,0.0,0,0,27.1793959
-104.62176470588236,0.0,0,0,27.3896566
-104.17785714285715,0.0,0,0,27.5991805
-104.36614457831318,0.0,0,0,28.0623764
-104.514375,0.0,0,0,28.2604395
-103.83,0.0,0,0,28.4189081
-102.83625,0.0,0,0,28.6131681
-101.89199999999998,0.0,0,0,28.8399588
-101.35499999999999,0.0,0,0,29.0245177
-12.043000000000001,0.0,0,0,29.2479193
-100.155,0.0,0,0,29.4456685
-9.439999999999998,0.0,0,0,29.5986895
-6.689999999999998,0.0,0,0,29.7565448
-5.05764705882353,0.0,0,0,29.9662184
-3.7900000000000014,0.0,0,0,30.1208905
-3.8700000000000045,0.0,0,0,30.2699519
-83.98190476190477,0.0,0,0,30.4995052
-84.06,0.0,0,0,30.6542726
-100.38960000000002,0.0,0,0,30.8969081
-101.25416666666666,0.0,0,0,31.1578503
-101.89,0.0,0,0,31.3548307
-102.53675159235677,0.0,0,0,36.308172
-8.689999999999998,0.0,0,0,36.5069418
-11.179999999999996,0.0,0,0,36.6879623
-13.5,0.0,0,0,36.9265151
-103.0,0.0,0,0,37.0873871
-19.03,0.0,0,0,37.2422577
-21.0625,0.0,0,0,37.405559
-25.819999999999993,0.0,0,0,37.566857
-31.012,0.0,0,0,37.7388257
-33.06,0.0,0,0,37.9049298
-32.879999999999995,0.0,0,0,38.0540209
-36.620000000000005,0.0,0,0,38.2095731
-39.56,0.0,0,0,38.3673195
-44.94,0.0,0,0,38.52368
-50.43000000000001,0.0,0,0,38.6810056
-53.53,0.0,0,0,38.8390428
-55.5,0.0,0,0,38.9996757
-57.74,0.0,0,0,39.1547106
-61.68,0.0,0,0,39.3108548
-65.69,0.0,0,0,39.466401
-68.81,0.0,0,0,39.6208757
-70.79,0.0,0,0,39.784783
-72.12,0.0,0,0,39.9343377
-73.93,0.0,0,0,40.0917309
-76.31,0.0,0,0,40.2790007
-78.44,0.0,0,0,40.4356845
-80.18,0.0,0,0,40.5902844
-82.56,0.0,0,0,40.7478683
-84.75,0.0,0,0,40.9499988
-87.34,0.0,0,0,41.1134826
-89.18,0.0,0,0,41.2648823
-91.24000000000001,0.0,0,0,41.4217329
-93.26666666666667,0.0,0,0,41.5848401
-94.685,0.0,0,0,41.7359173
-95.88,0.0,0,0,41.8882682
-96.94,0.0,0,0,42.0437373
-98.435,0.0,0,0,42.1889213
-100.53,0.0,0,0,42.3438885
-102.18666666666667,0.0,0,0,42.5043635
-103.47,0.0,0,0,42.6575485
-104.685,0.0,0,0,42.8411491
-105.7,0.0,0,0,43.0140897
-107.08111111111111,0.0,0,0,43.1961837
-107.8775,0.0,0,0,43.3669242
-109.21,0.0,0,0,43.5192592
-110.655,0.0,0,0,43.6799814
-111.75,0.0,0,0,43.8096493
-113.47,0.0,0,0,43.9694873
-115.75,0.0,0,0,44.1259981
-116.96,0.0,0,0,44.2978014
-117.98166666666668,0.0,0,0,44.4935164
-117.25,0.0,0,0,44.696798
-116.37052631578948,0.0,0,0,44.9715476
-115.65999999999998,0.0,0,0,45.4817358
-114.98444444444446,0.0,0,0,46.2895522
-113.81,0.0,0,0,46.5033706
-112.0,0.0,0,0,46.656421
-107.44,0.0,0,0,46.8145395
-96.0,0.0,0,0,46.9682766
-87.31,0.0,0,0,47.1263016
-78.06,0.0,0,0,47.2841
-68.75,0.0,0,0,47.4404269
-59.74,0.0,0,0,47.5964528
-53.5,0.0,0,0,47.7542682
-46.56999999999999,0.0,0,0,47.9077864
-34.25,0.0,0,0,48.077096
-18.629999999999995,0.0,0,0,48.2347538
-5.310000000000002,0.0,0,0,48.3911094
4.0,0.0,0,0,48.5497826
12.189999999999998,0.0,0,0,48.7068853
10.5,0.0,0,0,48.8606794
12.75,0.0,0,0,49.016154
13.159999999999997,0.0,0,0,49.1758941
12.0,0.0,0,0,49.3500241
11.310000000000002,0.0,0,0,49.5062052
9.75,0.0,0,0,49.6609935
7.719999999999999,0.0,0,0,49.8234777
6.583333333333333,0.0,0,0,49.9804141
5.185000000000002,0.0,0,0,50.1358255
3.7628571428571433,0.0,0,0,50.4130874
4.706363636363634,0.0,0,0,50.6270049
3.780000000000001,0.0,0,0,50.8044022
2.326428571428571,0.0,0,0,51.0158601
0.4650000000000034,0.0,0,0,51.1855895
-0.9699999999999989,0.0,0,0,51.3613648
-1.2273684210526312,0.0,0,0,51.8888339
-0.7120000000000004,0.0,0,0,52.143692
-2.094999999999999,0.0,0,0,52.3568957
-3.25,0.0,0,0,52.5107555
-5.008749999999999,0.0,0,0,52.7602346
-7.25,0.0,0,0,52.9349554
-10.430000000000007,0.0,0,0,53.0910654
-17.680000000000007,0.0,0,0,53.2496831
-23.870000000000005,0.0,0,0,53.4054091
-36.0,0.0,0,0,53.5621836
-40.120000000000005,0.0,0,0,53.7345058
-43.56,0.0,0,0,53.891781
-46.47,0.0,0,0,54.0534175
-47.85,0.0,0,0,54.2669026
-48.879999999999995,0.0,0,0,54.4270843
-50.655,0.0,0,0,54.5864635
-53.31,0.0,0,0,54.7388398
-55.69,0.0,0,0,54.8957545
-59.56,0.0,0,0,55.0517101
-65.81,0.0,0,0,55.2065375
-69.965,0.0,0,0,55.3983801
-71.815,0.0,0,0,55.5691524
-74.24666666666667,0.0,0,0,55.7427454
-75.23230769230769,0.0,0,0,55.9398201
-74.55666666666667,0.0,0,0,56.3819147
-73.53769230769231,0.0,0,0,56.9827083
-72.69139534883719,0.0,0,0,58.8816622
-71.41333333333334,0.0,0,0,59.0823452
-68.62,0.0,0,0,59.2467679
-58.559999999999995,0.0,0,0,59.402533
-41.94,0.0,0,0,59.559807
-31.120000000000005,0.0,0,0,59.7164989
-23.75,0.0,0,0,59.8730564
-18.5,0.0,0,0,60.0283977
-15.560000000000002,0.0,0,0,60.1863072
-13.25,0.0,0,0,60.3442582
-10.370000000000005,0.0,0,0,60.4849145
-8.751999999999999,0.0,0,0,60.6550647
-7.893333333333335,0.0,0,0,60.8072369
-6.810588235294116,0.0,0,0,61.0499092
-6.349032258064516,0.0,0,0,62.381673
-11.680000000000007,0.0,0,0,62.5903057
-28.689999999999998,0.0,0,0,62.7495265
-40.94,0.0,0,0,62.9050951
-51.5,0.0,0,0,63.0614289
-61.25,0.0,0,0,63.2174844
-67.56,0.0,0,0,63.3753062
-72.18,0.0,0,0,63.5594654
-77.81,0.0,0,0,63.7920174
-82.93,0.0,0,0,63.9799846
-85.43,0.0,0,0,64.1510451
-87.25,0.0,0,0,64.3086181
-89.62,0.0,0,0,64.4643934
-92.99000000000001,0.0,0,0,64.6499169
-96.13,0.0,0,0,64.8513309
-98.88,0.0,0,0,65.0394743
-101.215,0.0,0,0,65.2005539
-101.275,0.0,0,0,65.3575141
-99.74000000000001,0.0,0,0,65.5078614
-97.06,0.0,0,0,65.6654138
-86.31,0.0,0,0,65.8343861
-73.75,0.0,0,0,65.9915862
-64.31,0.0,0,0,66.1477688
-54.24,0.0,0,0,66.3031674
-47.629999999999995,0.0,0,0,66.4594838
-41.120000000000005,0.0,0,0,66.6173546
-34.18000000000001,0.0,0,0,66.7728769
-27.75,0.0,0,0,66.9301252
-21.879999999999995,0.0,0,0,67.0867177
-17.5,0.0,0,0,67.2422761
-11.879999999999995,0.0,0,0,67.3995528
-7.439999999999998,0.0,0,0,67.5720677
-3.430000000000007,0.0,0,0,67.7271434
-1.1200000000000045,0.0,0,0,67.9161304
0.8333333333333334,0.0,0,0,68.0763804
3.8700000000000045,0.0,0,0,68.2260056
5.4799999999999995,0.0,0,0,68.3914807
4.75,0.0,0,0,68.5446953
6.810000000000002,0.0,0,0,68.7037736
